accession	organism	strain	level	biosample	isolation_source
GCF_009913655.1	Lactiplantibacillus plantarum	SRCM100442	Complete Genome	SAMN08707598	
GCF_014131735.1	Lactiplantibacillus plantarum	DSM 20174	Complete Genome	SAMN11357169	
GCF_004730965.1	Lactiplantibacillus plantarum	UNQLp11	Complete Genome	SAMN09692902	
GCF_057815115.1	Lactiplantibacillus plantarum	MOIA PANSUNG_MP49	Complete Genome	SAMN60249627	
GCF_059547555.1	Lactiplantibacillus plantarum		Complete Genome	SAMN61118679	
GCF_001704335.1	Lactiplantibacillus plantarum	DF	Complete Genome	SAMN04346870	
GCF_001704315.1	Lactiplantibacillus plantarum	KP	Complete Genome	SAMN04346869	
GCF_002290185.1	Lactiplantibacillus plantarum	BDGP2	Complete Genome	SAMN07593867	
GCF_049241955.1	Lactiplantibacillus plantarum	BLP3	Complete Genome	SAMN47502531	
GCF_029855105.1	Lactiplantibacillus plantarum	DMC-S1	Complete Genome	SAMN34217994	
GCF_057736435.1	Lactiplantibacillus plantarum	N4	Complete Genome	SAMN59996916	
GCF_052692365.1	Lactiplantibacillus plantarum	MTY101	Complete Genome	SAMN51235226	
GCF_001672035.1	Lactiplantibacillus plantarum	NCU116	Complete Genome	SAMN05162259	
GCF_013487805.1	Lactiplantibacillus plantarum	BK-021	Complete Genome	SAMN11650980	
GCF_057786755.1	Lactiplantibacillus plantarum		Complete Genome	SAMN60283860	
GCF_030253605.1	Lactiplantibacillus plantarum	YY-112	Complete Genome	SAMN35562085	
GCF_002576835.1	Lactiplantibacillus plantarum	PC520	Complete Genome	SAMN07760023	
GCF_039725565.1	Lactiplantibacillus plantarum	DMDL 9010	Complete Genome	SAMN10081750	
GCF_041531555.1	Lactiplantibacillus plantarum	G2Lp	Complete Genome	SAMN43083517	
GCF_013155145.1	Lactiplantibacillus plantarum	CNEI-KCA4	Complete Genome	SAMN14941080	
GCF_003345375.1	Lactiplantibacillus plantarum	TMW 1.1478	Complete Genome	SAMN07236647	
GCF_002220175.1	Lactiplantibacillus plantarum	dm	Complete Genome	SAMN06855883	
GCF_056175105.1	Lactiplantibacillus plantarum	SLpl002	Complete Genome	SAMN56485178	
GCF_023973045.1	Lactiplantibacillus plantarum	Z.6-1	Complete Genome	SAMN29205640	
GCF_044590115.1	Lactiplantibacillus plantarum	NMGL2	Complete Genome	SAMN44480978	
GCF_009762745.1	Lactiplantibacillus plantarum	8P-A3	Complete Genome	SAMN13520994	
GCF_049177205.1	Lactiplantibacillus plantarum	W32	Complete Genome	SAMN47237039	
GCF_028869445.1	Lactiplantibacillus plantarum	VHProbi V22	Complete Genome	SAMN27397807	
GCF_025144505.1	Lactiplantibacillus plantarum	HMX2	Complete Genome	SAMN24967839	
GCF_049477935.1	Lactiplantibacillus plantarum	DH24	Complete Genome	SAMN42567014	
GCF_058135485.1	Lactiplantibacillus plantarum	M3.3	Complete Genome	SAMN60057454	
GCF_002868775.1	Lactiplantibacillus plantarum	K259	Complete Genome	SAMN08274873	
GCF_002005385.2	Lactiplantibacillus plantarum	10CH	Complete Genome	SAMN06311425	
GCF_057418965.1	Lactiplantibacillus plantarum	AR171	Complete Genome	SAMN40697541	
GCF_036255815.1	Lactiplantibacillus plantarum	ZX028	Complete Genome	SAMN39328092	
GCF_017798305.1	Lactiplantibacillus plantarum	NCIMB8826	Complete Genome	SAMN11128907	
GCF_049330845.1	Lactiplantibacillus plantarum	kfsvi1	Complete Genome	SAMN46438102	
GCF_015693925.1	Lactiplantibacillus plantarum	ZDY2013	Complete Genome	SAMN16814808	
GCF_029814785.1	Lactiplantibacillus plantarum	WLPL21	Complete Genome	SAMN34136147	
GCF_029834415.1	Lactiplantibacillus plantarum	ZDY04	Complete Genome	SAMN34152068	
GCF_027557615.1	Lactiplantibacillus plantarum	FLPL05	Complete Genome	SAMN13255727	
GCF_059621345.1	Lactiplantibacillus plantarum	COC6726	Complete Genome	SAMN61421507	
GCF_026153115.1	Lactiplantibacillus plantarum	L55	Complete Genome	SAMN31433308	
GCF_004103495.1	Lactiplantibacillus plantarum	SRCM103472	Complete Genome	SAMN10754018	
GCF_004103515.1	Lactiplantibacillus plantarum	SRCM103473	Complete Genome	SAMN10754056	
GCF_031597175.1	Lactiplantibacillus plantarum	VHProbi QSH01	Complete Genome	SAMN37344986	
GCF_057785035.1	Lactiplantibacillus plantarum	25	Complete Genome	SAMN56815407	
GCF_030297695.1	Lactiplantibacillus plantarum	IYO2065	Complete Genome	SAMD00599669	
GCF_010586945.1	Lactiplantibacillus plantarum	202195	Complete Genome	SAMN11618740	
GCF_055234055.1	Lactiplantibacillus plantarum	GL4	Complete Genome	SAMN54895824	
GCF_018351295.1	Lactiplantibacillus plantarum	ATCC 202195	Complete Genome	SAMN14169821	
GCF_058134955.1	Lactiplantibacillus plantarum	UFLA CH1	Complete Genome	SAMN60441136	
GCF_058134785.1	Lactiplantibacillus plantarum	UFLA CH3	Complete Genome	SAMN60441137	
GCF_058134795.1	Lactiplantibacillus plantarum	UFLA CH31	Complete Genome	SAMN60441139	
GCF_020881935.1	Lactiplantibacillus plantarum	ZW5	Complete Genome	SAMN22871635	
GCF_002948215.1	Lactiplantibacillus plantarum	KC28	Complete Genome	SAMN08512091	
GCF_016812075.1	Lactiplantibacillus plantarum	CXG9	Complete Genome	SAMN17601126	
GCF_051557165.1	Lactiplantibacillus plantarum	NX87	Complete Genome	SAMN49831394	
GCF_029542245.1	Lactiplantibacillus plantarum	EN6	Complete Genome	SAMN32424931	
GCF_035338015.1	Lactiplantibacillus plantarum	CYLB561	Complete Genome	SAMN38691421	
GCF_038592865.1	Lactiplantibacillus plantarum	CS3	Complete Genome	SAMN41014341	
GCF_058134515.1	Lactiplantibacillus plantarum	UFLA SAU96	Complete Genome	SAMN60441142	
GCF_035336205.1	Lactiplantibacillus plantarum	CYLB101	Complete Genome	SAMN38691420	
GCF_002109425.1	Lactiplantibacillus plantarum	LP2	Complete Genome	SAMN06756312	
GCF_000931425.2	Lactiplantibacillus plantarum	B21	Complete Genome	SAMN03278695	
GCF_037099845.1	Lactiplantibacillus plantarum	DS1989	Complete Genome	SAMN40243341	
GCF_004101505.1	Lactiplantibacillus plantarum	SRCM103357	Complete Genome	SAMN10742635	
GCF_057074005.1	Lactiplantibacillus plantarum	P87	Complete Genome	SAMN41278822	
GCF_026976315.1	Lactiplantibacillus plantarum	SRCM101587	Complete Genome	SAMN31762478	
GCF_023348385.1	Lactiplantibacillus plantarum	LPC904	Complete Genome	SAMN24805850	
GCF_035588615.1	Lactiplantibacillus plantarum	NCHBL-004	Complete Genome	SAMN38985435	
GCF_023348525.1	Lactiplantibacillus plantarum	LPT52	Complete Genome	SAMN24806561	
GCF_032920365.1	Lactiplantibacillus plantarum	MSJK0048	Complete Genome	SAMN37344045	
GCF_047277305.1	Lactiplantibacillus plantarum	ZJ316PV	Complete Genome	SAMN46300976	
GCF_036259715.1	Lactiplantibacillus plantarum	VHProbi M25	Complete Genome	SAMN39437242	
GCF_003589725.1	Lactiplantibacillus plantarum	ZFM55	Complete Genome	SAMN07305427	
GCF_054918155.1	Lactiplantibacillus plantarum	ZJY-2	Complete Genome	SAMN54972853	
GCF_003966855.1	Lactiplantibacillus plantarum	SN35N	Complete Genome	SAMD00097254	
GCF_038743365.1	Lactiplantibacillus plantarum	HOM2217	Complete Genome	SAMN41038019	
GCF_013367715.1	Lactiplantibacillus plantarum	Heal19	Complete Genome	SAMN14600802	
GCF_026013765.1	Lactiplantibacillus plantarum	E2	Complete Genome	SAMN31455228	
GCF_031348585.1	Lactiplantibacillus plantarum	KCKM 0597	Complete Genome	SAMN37256207	
GCF_058066585.1	Lactiplantibacillus plantarum	NR1-7	Complete Genome	SAMN60149979	
GCF_024969905.1	Lactiplantibacillus plantarum	SRCM210465	Complete Genome	SAMN30551690	
GCF_024800605.1	Lactiplantibacillus plantarum	SRCM210459	Complete Genome	SAMN30472540	
GCF_001596095.1	Lactiplantibacillus plantarum	JBE245	Complete Genome	SAMN04517536	
GCF_058134565.1	Lactiplantibacillus plantarum	UCPH LP6	Complete Genome	SAMN60441128	
GCF_040745055.1	Lactiplantibacillus plantarum	CMTB-TF1	Complete Genome	SAMN42358598	
GCF_982554065.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA122031764	
GCF_029590535.1	Lactiplantibacillus plantarum	ZFM518	Complete Genome	SAMN33923134	
GCF_003627335.1	Lactiplantibacillus plantarum	ZFM9	Complete Genome	SAMN07303085	
GCF_001484005.1	Lactiplantibacillus plantarum	LZ95	Complete Genome	SAMN03854682	
GCF_049990875.1	Lactiplantibacillus plantarum	R26	Complete Genome	SAMN48064186	
GCF_029854235.1	Lactiplantibacillus plantarum	MA2	Complete Genome	SAMN34153834	
GCF_037414485.1	Lactiplantibacillus plantarum	DS1073	Complete Genome	SAMN40243297	
GCF_031432955.1	Lactiplantibacillus plantarum	KCKM 0112	Complete Genome	SAMN37235548	
GCF_037414405.1	Lactiplantibacillus plantarum	CUDS1073	Complete Genome	SAMN40277699	
GCF_002286275.1	Lactiplantibacillus plantarum	LP3	Complete Genome	SAMN05631073	
GCF_964065445.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA115434240	
GCF_056739195.1	Lactiplantibacillus plantarum	dy-1	Complete Genome	SAMN19553177	
GCF_023207995.1	Lactiplantibacillus plantarum	LP-F1	Complete Genome	SAMN14572866	
GCF_050613195.1	Lactiplantibacillus plantarum	ELPL27	Complete Genome	SAMN48667494	
GCF_026240755.1	Lactiplantibacillus plantarum	Y42	Complete Genome	SAMN31706071	
GCF_058091815.1	Lactiplantibacillus plantarum	DPUL-F232	Complete Genome	SAMN60535399	
GCF_056821015.1	Lactiplantibacillus plantarum	HP-B1718	Complete Genome	SAMN54269387	
GCF_017301935.1	Lactiplantibacillus plantarum	12	Complete Genome	SAMN13495976	
GCF_039954855.1	Lactiplantibacillus plantarum	AHQ-14	Complete Genome	SAMN41274413	
GCF_025723165.1	Lactiplantibacillus plantarum	BF_15	Complete Genome	SAMN23674217	
GCF_030297735.1	Lactiplantibacillus plantarum	AWA2045	Complete Genome	SAMD00599671	
GCF_024969715.1	Lactiplantibacillus plantarum	SRCM210576	Complete Genome	SAMN30551707	
GCF_024970125.1	Lactiplantibacillus plantarum	SRCM210579	Complete Genome	SAMN30552012	
GCF_024970145.1	Lactiplantibacillus plantarum	SRCM210580	Complete Genome	SAMN30552018	
GCF_007833595.1	Lactiplantibacillus plantarum	Y44	Complete Genome	SAMN09487401	
GCF_021560135.1	Lactiplantibacillus plantarum	W2	Complete Genome	SAMN25008410	
GCF_001617525.2	Lactiplantibacillus plantarum	CAUH2	Complete Genome	SAMN04549363	
GCF_056618465.1	Lactiplantibacillus plantarum	BIM B-404D	Complete Genome	SAMN53287262	
GCF_055809795.1	Lactiplantibacillus plantarum	KCTC 33133	Complete Genome	SAMN52863548	
GCF_002173655.1	Lactiplantibacillus plantarum	SRCM102022	Complete Genome	SAMN07125944	
GCF_058134825.1	Lactiplantibacillus plantarum	UCPH LP13	Complete Genome	SAMN60441135	
GCF_057400285.1	Lactiplantibacillus plantarum	XHQ-007	Complete Genome	SAMN57562669	
GCF_057400295.1	Lactiplantibacillus plantarum	WYP	Complete Genome	SAMN57562754	
GCF_010092485.1	Lactiplantibacillus plantarum	CACC 558	Complete Genome	SAMN13871866	
GCF_017742875.1	Lactiplantibacillus plantarum	LRCC5314	Complete Genome	SAMN18452343	
GCF_009913975.1	Lactiplantibacillus plantarum	SRCM102737	Complete Genome	SAMN08707612	
GCF_024442115.1	Lactiplantibacillus plantarum	LpYC41	Complete Genome	SAMN29815537	
GCF_002116955.1	Lactiplantibacillus plantarum	BLS41	Complete Genome	SAMN06016049	
GCF_001990145.1	Lactiplantibacillus plantarum	RI-113	Complete Genome	SAMN05717715	
GCF_028768485.1	Lactiplantibacillus plantarum	SMB758	Complete Genome	SAMN33235474	
GCF_027558615.1	Lactiplantibacillus plantarum	VHProbi E15	Complete Genome	SAMN27162619	
GCF_057365125.1	Lactiplantibacillus plantarum	LAB-GS-CSR1	Complete Genome	SAMN50111801	
GCF_024758745.1	Lactiplantibacillus plantarum	VHProbi O10	Complete Genome	SAMN28104611	
GCF_014840995.1	Lactiplantibacillus plantarum	PMO08	Complete Genome	SAMN16261143	
GCF_057073535.1	Lactiplantibacillus plantarum	HO4	Complete Genome	SAMN35883746	
GCF_057073515.1	Lactiplantibacillus plantarum	H10	Complete Genome	SAMN35883748	
GCF_042465735.1	Lactiplantibacillus plantarum	VHProbi P32	Complete Genome	SAMN27162335	
GCF_057736635.1	Lactiplantibacillus plantarum	LA-4	Complete Genome	SAMN60045195	
GCF_052063245.1	Lactiplantibacillus plantarum	MY-2	Complete Genome	SAMN40926536	
GCF_031877725.1	Lactiplantibacillus plantarum	SYBC-SM3	Complete Genome	SAMN35789079	
GCF_037094665.1	Lactiplantibacillus plantarum	Lrld-22	Complete Genome	SAMN40188378	
GCF_058135345.1	Lactiplantibacillus plantarum	UCPH LP7	Complete Genome	SAMN60441129	
GCF_058134455.1	Lactiplantibacillus plantarum	UCPH LP9	Complete Genome	SAMN60441131	
GCF_058134395.1	Lactiplantibacillus plantarum	UCPH LP8	Complete Genome	SAMN60441130	
GCF_032818175.1	Lactiplantibacillus plantarum	Ep-M17	Complete Genome	SAMN30403673	
GCF_030463605.1	Lactiplantibacillus plantarum	HC-2	Complete Genome	SAMN30247567	
GCF_013458335.1	Lactiplantibacillus plantarum	HC-2	Complete Genome	SAMN13555603	
GCF_041941405.1	Lactiplantibacillus plantarum	GBW-LP001	Complete Genome	SAMN43515873	
GCF_058134625.1	Lactiplantibacillus plantarum	UCPH LP12	Complete Genome	SAMN60441134	
GCF_025402835.1	Lactiplantibacillus plantarum	MGEL20154	Complete Genome	SAMN30884643	
GCF_003428355.1	Lactiplantibacillus plantarum	IDCC3501	Complete Genome	SAMN09858434	
GCF_029854335.1	Lactiplantibacillus plantarum	MY04	Complete Genome	SAMN34164294	
GCF_033024555.1	Lactiplantibacillus plantarum	MDBL 269	Complete Genome	SAMN31142862	
GCF_037997095.1	Lactiplantibacillus plantarum	GBCC_F0227	Complete Genome	SAMN40605261	
GCF_041344935.1	Lactiplantibacillus plantarum	HD02	Complete Genome	SAMN43087440	
GCF_049188355.1	Lactiplantibacillus plantarum	CQ01-107	Complete Genome	SAMN46797118	
GCF_001278015.1	Lactiplantibacillus plantarum	5-2	Complete Genome	SAMN02953961	
GCF_001880185.2	Lactiplantibacillus plantarum	MF1298	Complete Genome	SAMN04251328	
GCF_041927215.1	Lactiplantibacillus plantarum	YH001	Complete Genome	SAMN43413630	
GCF_030758995.1	Lactiplantibacillus plantarum	RS20D	Complete Genome	SAMN12388976	
GCF_021279005.2	Lactiplantibacillus plantarum	022AE	Complete Genome	SAMN09662691	
GCF_046244405.1	Lactiplantibacillus plantarum	LP8	Complete Genome	SAMN45628971	
GCF_016838645.1	Lactiplantibacillus plantarum	KM2	Complete Genome	SAMN17717972	
GCF_059488785.1	Lactiplantibacillus plantarum	BH3-1	Complete Genome	SAMN60732426	
GCF_024396815.1	Lactiplantibacillus plantarum	HOM3204	Complete Genome	SAMN22210005	
GCF_003999275.1	Lactiplantibacillus plantarum	FBL-3a	Complete Genome	SAMN10364449	
GCF_049190885.1	Lactiplantibacillus plantarum	LPJBC5	Complete Genome	SAMN47384276	
GCF_014041895.1	Lactiplantibacillus plantarum	SK156	Complete Genome	SAMN15616178	
GCF_003269405.1	Lactiplantibacillus plantarum	SK151	Complete Genome	SAMN09373895	
GCF_024758665.1	Lactiplantibacillus plantarum	VHProbi O04	Complete Genome	SAMN27162255	
GCF_003097595.1	Lactiplantibacillus plantarum	LQ80	Complete Genome	SAMN08939683	
GCF_040536935.1	Lactiplantibacillus plantarum	ZY-1	Complete Genome	SAMN42111627	
GCF_059621365.1	Lactiplantibacillus plantarum	JNU827	Complete Genome	SAMN61421559	
GCF_012974545.1	Lactiplantibacillus plantarum	AMT74419	Complete Genome	SAMN14750817	
GCF_041297935.1	Lactiplantibacillus plantarum	PM8	Complete Genome	SAMN42877782	
GCF_009914095.1	Lactiplantibacillus plantarum	SRCM101167	Complete Genome	SAMN08707601	
GCF_024970165.1	Lactiplantibacillus plantarum	SRCM210797	Complete Genome	SAMN30552019	
GCF_051225605.1	Lactiplantibacillus plantarum	CLP51	Complete Genome	SAMN48997625	
GCF_041222805.1	Lactiplantibacillus plantarum	BD-LP	Complete Genome	SAMN43031738	
GCF_059684965.1	Lactiplantibacillus plantarum	SLpl048	Complete Genome	SAMN55190481	
GCF_036321605.1	Lactiplantibacillus plantarum	CGMCC 15358	Complete Genome	SAMN39564528	
GCF_037100195.1	Lactiplantibacillus plantarum	DS1902	Complete Genome	SAMN40243327	
GCF_037414365.1	Lactiplantibacillus plantarum	CUDS1902	Complete Genome	SAMN40277708	
GCF_058134635.1	Lactiplantibacillus plantarum	UFLA CH8	Complete Genome	SAMN60441138	
GCF_058134895.1	Lactiplantibacillus plantarum	UFLA CH93	Complete Genome	SAMN60441141	
GCF_004319665.1	Lactiplantibacillus plantarum	IRG1	Complete Genome	SAMN08290306	
GCF_009913635.1	Lactiplantibacillus plantarum	SRCM100440	Complete Genome	SAMN08707597	
GCF_009913615.1	Lactiplantibacillus plantarum	SRCM100438	Complete Genome	SAMN08707596	
GCF_050920835.1	Lactiplantibacillus plantarum	NCU0011190	Complete Genome	SAMN48910250	
GCF_058134425.1	Lactiplantibacillus plantarum	UFLA CH54	Complete Genome	SAMN60441140	
GCF_009619495.1	Lactiplantibacillus plantarum	TMW 1.1308	Complete Genome	SAMN07236646	
GCF_003597615.1	Lactiplantibacillus plantarum	ATG-K8	Complete Genome	SAMN10094466	
GCF_059620905.1	Lactiplantibacillus plantarum	AMS-19	Complete Genome	SAMN61482357	
GCF_057895855.1	Lactiplantibacillus plantarum	J2K-1229	Complete Genome	SAMN57531433	
GCF_017351995.1	Lactiplantibacillus plantarum	AR195	Complete Genome	SAMN18137751	
GCF_014084065.1	Lactiplantibacillus plantarum	BCC9546	Complete Genome	SAMN12871419	
GCF_040822455.1	Lactiplantibacillus plantarum	BR2-12	Complete Genome	SAMN42033111	
GCF_057457675.1	Lactiplantibacillus plantarum	HME4	Complete Genome	SAMN42273054	
GCF_019425695.1	Lactiplantibacillus plantarum	DW12	Complete Genome	SAMN15455050	
GCF_046843265.1	Lactiplantibacillus plantarum	KM119	Complete Genome	SAMN46082864	
GCF_982553985.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA122031766	
GCF_004028335.1	Lactiplantibacillus plantarum	12_3	Complete Genome	SAMN10720264	
GCF_009913855.1	Lactiplantibacillus plantarum	SRCM101518	Complete Genome	SAMN08707605	
GCF_003627355.1	Lactiplantibacillus plantarum	ZFM4	Complete Genome	SAMN07303049	
GCF_001659745.1	Lactiplantibacillus plantarum	LZ206	Complete Genome	SAMN05177792	
GCF_031583165.1	Lactiplantibacillus plantarum	JGS49	Complete Genome	SAMN37319786	
GCF_030503695.1	Lactiplantibacillus plantarum	BC299	Complete Genome	SAMN35791154	
GCF_045010365.1	Lactiplantibacillus plantarum	BR-12	Complete Genome	SAMN33709386	
GCF_003352125.1	Lactiplantibacillus plantarum	b-2	Complete Genome	SAMN08624599	
GCF_051123805.1	Lactiplantibacillus plantarum	Z43	Complete Genome	SAMN26363808	
GCF_019399915.1	Lactiplantibacillus plantarum	41P	Complete Genome	SAMN16988606	
GCF_045348015.1	Lactiplantibacillus plantarum	NML21	Complete Genome	SAMN40589693	
GCF_024137985.1	Lactiplantibacillus plantarum	3-1	Complete Genome	SAMN29359849	
GCF_054484395.1	Lactiplantibacillus plantarum	GR0585	Complete Genome	SAMN54328422	
GCF_023370155.1	Lactiplantibacillus plantarum	JB-1	Complete Genome	SAMN28097544	
GCF_036898925.1	Lactiplantibacillus plantarum	2359	Complete Genome	SAMN39980596	
GCF_029543005.1	Lactiplantibacillus plantarum	KF511	Complete Genome	SAMN18055044	
GCF_037113575.1	Lactiplantibacillus plantarum	IMB19	Complete Genome	SAMN40254693	
GCF_040356725.1	Lactiplantibacillus plantarum	FNZ042	Complete Genome	SAMN41787803	
GCF_964084915.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA115434241	
GCF_047041085.1	Lactiplantibacillus plantarum	G2	Complete Genome	SAMN46169522	
GCF_016894405.1	Lactiplantibacillus plantarum	Lp900	Complete Genome	SAMN14833145	
GCF_049942725.1	Lactiplantibacillus plantarum	KU210152	Complete Genome	SAMN47866443	
GCF_058437055.1	Lactiplantibacillus plantarum	KUFM11	Complete Genome	SAMN34238293	
GCF_026016545.1	Lactiplantibacillus plantarum	VHProbi P06	Complete Genome	SAMN30526907	
GCF_038024955.1	Lactiplantibacillus plantarum	LP140	Complete Genome	SAMN39639084	
GCF_013694305.1	Lactiplantibacillus plantarum	CNEI-KCA5	Complete Genome	SAMN15511455	
GCF_009720585.1	Lactiplantibacillus plantarum	KCCP11226	Complete Genome	SAMN13255693	
GCF_023348465.1	Lactiplantibacillus plantarum	LPIMC513	Complete Genome	SAMN24806220	
GCF_003597595.1	Lactiplantibacillus plantarum	ATG-K6	Complete Genome	SAMN10094369	
GCF_052438955.1	Lactiplantibacillus plantarum	HJ4	Complete Genome	SAMN50770396	
GCF_002749655.1	Lactiplantibacillus plantarum	ATCC 8014	Complete Genome	SAMN07837328	
GCF_057073525.1	Lactiplantibacillus plantarum	H05	Complete Genome	SAMN35883747	
GCF_033802805.1	Lactiplantibacillus plantarum	SN21-2	Complete Genome	SAMN38168100	
GCF_015377525.1	Lactiplantibacillus plantarum	TK-P2A	Complete Genome	SAMN13106278	
GCF_050106605.1	Lactiplantibacillus plantarum	GZ	Complete Genome	SAMN48080051	
GCF_032921125.1	Lactiplantibacillus plantarum	MSJK0068	Complete Genome	SAMN37344192	
GCF_002895245.1	Lactiplantibacillus plantarum	LM1004	Complete Genome	SAMN08348227	
GCF_048568895.1	Lactiplantibacillus plantarum	6Y-15	Complete Genome	SAMN46787187	
GCF_001296095.1	Lactiplantibacillus plantarum	ZS2058	Complete Genome	SAMN03952027	
GCF_009913695.1	Lactiplantibacillus plantarum	SRCM101105	Complete Genome	SAMN08707600	
GCF_054113425.1	Lactiplantibacillus plantarum	RLP74	Complete Genome	SAMN53889513	
GCF_056270385.1	Lactiplantibacillus plantarum	ZX030	Complete Genome	SAMN56454293	
GCF_052232885.1	Lactiplantibacillus plantarum	HP-B1280	Complete Genome	SAMN50648639	
GCF_038096155.1	Lactiplantibacillus plantarum	L75	Complete Genome	SAMN40862348	
GCF_046109905.1	Lactiplantibacillus plantarum	TCI227	Complete Genome	SAMN40890045	
GCF_026183415.1	Lactiplantibacillus plantarum	BRD_L15	Complete Genome	SAMN31580342	
GCF_042691645.1	Lactiplantibacillus plantarum	LP01	Complete Genome	SAMN43919990	
GCF_047495545.1	Lactiplantibacillus plantarum	OBM7	Complete Genome	SAMN46400537	
GCF_045348195.1	Lactiplantibacillus plantarum	TCI999	Complete Genome	SAMN40716503	
GCF_040790905.1	Lactiplantibacillus plantarum	AUSA004	Complete Genome	SAMN41916868	
GCF_003586485.1	Lactiplantibacillus plantarum	DR7	Complete Genome	SAMN09721150	
GCF_047649195.1	Lactiplantibacillus plantarum	V2	Complete Genome	SAMN46400503	
GCF_003143915.1	Lactiplantibacillus plantarum	HAC01	Complete Genome	SAMN09087848	
GCF_002024845.1	Lactiplantibacillus plantarum	CLP0611	Complete Genome	SAMN06240352	
GCF_040271445.1	Lactiplantibacillus plantarum	SCZH-7	Complete Genome	SAMN41852705	
GCF_024137845.1	Lactiplantibacillus plantarum	DM083	Complete Genome	SAMN29361992	
GCF_044095195.1	Lactiplantibacillus plantarum	AFY-10	Complete Genome	SAMN44397830	
GCF_024732385.1	Lactiplantibacillus plantarum	Q180	Complete Genome	SAMN18876450	
GCF_032602185.1	Lactiplantibacillus plantarum	IS-10506	Complete Genome	SAMN32530372	
GCF_033802745.1	Lactiplantibacillus plantarum	GA_C_14	Complete Genome	SAMN38172807	
GCF_052373675.1	Lactiplantibacillus plantarum	HQ04	Complete Genome	SAMN50744767	
GCF_006770505.1	Lactiplantibacillus plantarum	LLY-606	Complete Genome	SAMN07620857	
GCF_009913675.1	Lactiplantibacillus plantarum	SRCM100995	Complete Genome	SAMN08707599	
GCF_040268325.1	Lactiplantibacillus plantarum	TCI837	Complete Genome	SAMN41862956	
GCF_004101325.1	Lactiplantibacillus plantarum	SRCM103311	Complete Genome	SAMN10742279	
GCF_057418565.1	Lactiplantibacillus plantarum	AR326	Complete Genome	SAMN41852336	
GCF_009759845.1	Lactiplantibacillus plantarum	123-17	Complete Genome	SAMN13526508	
GCF_057418535.1	Lactiplantibacillus plantarum	AR307	Complete Genome	SAMN41852026	
GCF_002943545.1	Lactiplantibacillus plantarum	X7021	Complete Genome	SAMN08166740	
GCF_032463585.1	Lactiplantibacillus plantarum	P47	Complete Genome	SAMN37547334	
GCF_032463565.1	Lactiplantibacillus plantarum	P46	Complete Genome	SAMN37547333	
GCF_002109405.1	Lactiplantibacillus plantarum	JBE490	Complete Genome	SAMN06619691	
GCF_964200455.1	Lactiplantibacillus plantarum	CIRM-BIA777	Complete Genome	SAMEA115843629	
GCF_002205775.2	Lactiplantibacillus plantarum	LPL-1	Complete Genome	SAMN07248584	
GCF_053849045.1	Lactiplantibacillus plantarum	HYH-11	Complete Genome	SAMN49482004	
GCF_021559675.1	Lactiplantibacillus plantarum	P9	Complete Genome	SAMN15461261	
GCF_004337615.1	Lactiplantibacillus plantarum	EM	Complete Genome	SAMN11053536	
GCF_004101645.1	Lactiplantibacillus plantarum	SRCM103426	Complete Genome	SAMN10743463	
GCF_003286955.1	Lactiplantibacillus plantarum	DSR_M2	Complete Genome	SAMN07280659	
GCF_011304595.2	Lactiplantibacillus plantarum	LS/07	Complete Genome	SAMN10717828	
GCF_006770485.1	Lactiplantibacillus plantarum	pc-26	Complete Genome	SAMN07620858	
GCF_033546835.1	Lactiplantibacillus plantarum	beLP1	Complete Genome	SAMN37988430	
GCF_036321505.1	Lactiplantibacillus plantarum	CGMCC 14177	Complete Genome	SAMN39555870	
GCF_004141875.1	Lactiplantibacillus plantarum	SRCM103300	Complete Genome	SAMN10849470	
GCF_057418615.1	Lactiplantibacillus plantarum	AR495	Complete Genome	SAMN41852348	
GCF_003020005.1	Lactiplantibacillus plantarum	K25	Complete Genome	SAMN06560050	
GCF_026689375.1	Lactiplantibacillus plantarum	BC015	Complete Genome	SAMN31882070	
GCF_002868755.1	Lactiplantibacillus plantarum	KC3	Complete Genome	SAMN08274863	
GCF_013305265.1	Lactiplantibacillus plantarum	TCI507	Complete Genome	SAMN15080508	
GCF_051217015.1	Lactiplantibacillus plantarum	PL-02	Complete Genome	SAMN49504444	
GCF_009913835.1	Lactiplantibacillus plantarum	SRCM101222	Complete Genome	SAMN08707603	
GCF_019076805.1	Lactiplantibacillus plantarum	XJ25	Complete Genome	SAMN17313385	
GCF_003813125.1	Lactiplantibacillus plantarum	LMT1-48	Complete Genome	SAMN10417190	
GCF_050563485.1	Lactiplantibacillus plantarum	BIM B-492D	Complete Genome	SAMN48537164	
GCF_982553825.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA122031767	
GCF_964065245.1	Lactiplantibacillus plantarum		Complete Genome	SAMEA115434239	
GCF_004101545.1	Lactiplantibacillus plantarum	SRCM103361	Complete Genome	SAMN10743316	
GCF_051860185.1	Lactiplantibacillus plantarum	0111	Complete Genome	SAMN28751293	
GCF_050613265.1	Lactiplantibacillus plantarum	A45	Complete Genome	SAMN47890140	
GCF_049942745.1	Lactiplantibacillus plantarum	KU15149	Complete Genome	SAMN47866582	
